REGION_PROVINCE_CITY_MUNICIPALITY,POP_2010,POP_2015,POP_2020,POP_2024,PGR_2010_2015,PGR_2015_2020,PGR_2015_2024,PGR_2020_2024
NATIONAL CAPITAL REGION (NCR),11855975,12877253,13484462,14001751,1.58,0.97,0.94,0.91
CITY OF CALOOCAN,1489040,1583978,1661584,1712945,1.18,1.01,0.88,0.73
CITY OF LAS PIÑAS,552573,588894,606293,615549,1.22,0.61,0.5,0.36
CITY OF MAKATI,263683,280150,292743,309770,1.16,0.93,1.13,1.37
CITY OF MALABON,353337,365525,380522,389929,0.65,0.85,0.73,0.59
CITY OF MANDALUYONG,328699,386276,425758,465902,3.12,2.07,2.12,2.18
CITY OF MANILA,1652171,1780148,1846513,1902590,1.43,0.77,0.75,0.72
CITY OF MARIKINA,424150,450741,456059,471323,1.16,0.25,0.5,0.79
CITY OF MUNTINLUPA,459941,504509,543445,552225,1.78,1.58,1.02,0.39
CITY OF NAVOTAS,249131,249463,247543,252878,0.03,-0.16,0.15,0.51
CITY OF PARAÑAQUE,588126,665822,689992,703245,2.39,0.75,0.61,0.46
PASAY CITY,392869,416522,440656,453186,1.12,1.19,0.95,0.67
CITY OF PASIG,669773,755300,803159,853050,2.31,1.3,1.37,1.46
QUEZON CITY,2761720,2936116,2960048,3084270,1.17,0.17,0.55,0.99
CITY OF SAN JUAN,121430,122180,126347,134312,0.12,0.71,1.07,1.48
CITY OF TAGUIG,909829,1107367,1223595,1308085,3.81,2.12,1.88,1.61
CITY OF VALENZUELA,575356,620422,714978,725173,1.45,3.03,1.76,0.34
PATEROS,64147,63840,65227,67319,-0.09,0.45,0.6,0.76
CORDILLERA ADMINISTRATIVE REGION (CAR),1616867,1722006,1797660,1808985,1.21,0.91,0.55,0.15
ABRA,234733,241160,250985,246948,0.52,0.84,0.27,-0.39
BANGUED,43936,48163,50382,48331,1.76,0.95,0.04,-0.99
BOLINEY,4063,3573,4551,3778,-2.42,5.22,0.63,-4.37
BUCAY,17126,17115,17953,17775,-0.01,1.01,0.42,-0.24
BUCLOC,2176,2501,2395,2264,2.68,-0.91,-1.11,-1.34
DAGUIOMAN,1715,2088,2019,1773,3.82,-0.7,-1.82,-3.07
DANGLAS,4734,4192,4074,4372,-2.29,-0.6,0.47,1.71
DOLORES,11499,11315,11512,11967,-0.31,0.36,0.63,0.93
LA PAZ,14882,15437,16493,16014,0.7,1.4,0.41,-0.7
LACUB,2977,3403,3612,3649,2.58,1.26,0.79,0.24
LAGANGILANG,13824,14255,14914,14577,0.59,0.96,0.25,-0.55
LAGAYAN,4477,4499,4488,5154,0.09,-0.05,1.53,3.37
LANGIDEN,3170,3198,3576,3457,0.17,2.38,0.88,-0.81
LICUAN-BAAY,4864,4689,4566,4301,-0.69,-0.56,-0.96,-1.42
LUBA,6391,6339,6518,6402,-0.16,0.59,0.11,-0.43
MALIBCONG,3807,3428,4027,4167,-1.98,3.45,2.21,0.82
MANABO,10756,10761,11611,11087,0.01,1.61,0.34,-1.1
PEÑARRUBIA,6544,6640,6951,7003,0.28,0.97,0.6,0.18
PIDIGAN,11528,12185,12475,12058,1.06,0.5,-0.12,-0.81
PILAR,9908,10223,10146,10498,0.6,-0.16,0.3,0.82
SALLAPADAN,5985,6622,6389,6328,1.94,-0.75,-0.51,-0.23
SAN ISIDRO,4888,4574,4745,4771,-1.26,0.78,0.47,0.13
SAN JUAN,10546,9867,10688,10777,-1.26,1.7,0.99,0.2
SAN QUINTIN,5233,5438,5705,5963,0.73,1.01,1.04,1.07
TAYUM,13940,14467,14869,14808,0.71,0.58,0.26,-0.1
TINEG,4668,5097,4977,5059,1.69,-0.5,-0.08,0.39
TUBO,5719,5699,5674,4941,-0.07,-0.09,-1.59,-3.26
VILLAVICIOSA,5377,5392,5675,5674,0.05,1.08,0.57,0.0
APAYAO,112636,119184,124366,126587,1.08,0.9,0.68,0.43
CALANASAN,11568,12604,12550,12176,1.65,-0.09,-0.39,-0.72
CONNER,24811,26051,27552,28360,0.93,1.19,0.96,0.7
FLORA,16743,17391,17944,18271,0.73,0.66,0.55,0.43
KABUGAO,16170,15537,16215,16425,-0.76,0.9,0.62,0.31
LUNA,18029,19063,21297,21630,1.07,2.36,1.43,0.37
PUDTOL,13305,14925,15491,15676,2.21,0.79,0.55,0.29
SANTA MARCELA,12010,13613,13317,14049,2.41,-0.46,0.35,1.29
BENGUET,403944,446224,460683,473190,1.91,0.67,0.66,0.64
ATOK,19242,19668,19218,19346,0.42,-0.49,-0.18,0.16
BAKUN,13587,15357,14535,15399,2.36,-1.15,0.03,1.39
BOKOD,12648,13756,14435,16071,1.61,1.02,1.76,2.61
